Ridge,Oficial
33.66589898,34.78370285
33.71840828,36.420784
33.80158029,35.79823685
32.73098336,33.67009735
33.54387101,34.33179474
33.1495243,32.57833099
34.55404121,33.66823959
33.91846631,34.34187317
34.52654466,35.15307617
33.69411894,33.10958481
34.75337382,33.94445801
34.02325388,33.13277435
34.82615163,33.1715126
34.31295431,32.87202072
35.80845831,35.75357819
36.70919827,37.36420822
37.04283249,37.26401901
37.55312905,38.73158646
39.65175114,39.51779556
38.36418285,38.92073441
38.88683442,38.82646942
38.8118734,38.26820755
39.7846384,38.00579834
40.38800474,40.03447342
39.83703854,38.37251663
39.86900174,38.21821213
40.61541294,38.91637802
39.58548251,39.29442215
39.77693443,39.78081512
39.18073825,38.90608597
39.78181945,40.45487976
40.59044288,41.057724
40.12838554,40.39948654
40.21643287,40.97595978
40.63668959,41.58499527
39.65167004,41.14294052
40.18576476,42.031353
40.89821736,41.64604187
41.64026529,42.74762344
40.70265455,42.87636566
39.96293246,41.26527786
40.5127514,41.38292694
41.32466508,41.07180786
40.62657125,41.99718857
40.28815473,41.70701981
40.26854461,40.97102356
40.18834256,39.97941208
